ProblemID,TAG
1970A3,trees 
1970A2,brute force
1970A2,constructive algorithms
1970A2,trees 
1970A1,implementation
1970A1,sortings 
1969F,dp
1969F,greedy
1969F,hashing
1969F,implementation 
1969E,binary search
1969E,data structures
1969E,divide and conquer
1969E,dp
1969E,greedy 
1969D,data structures
1969D,greedy
1969D,math
1969D,sortings 
1969C,dp
1969C,implementation 
1969B,constructive algorithms
1969B,greedy 
1969A,constructive algorithms
1969A,implementation
1969A,math 
1968G2,binary search
1968G2,brute force
1968G2,data structures
1968G2,dp
1968G2,hashing
1968G2,math
1968G2,string suffix structures
1968G2,strings 
1968G1,binary search
1968G1,data structures
1968G1,dp
1968G1,hashing
1968G1,string suffix structures
1968G1,strings 
1968F,binary search
1968F,data structures 
1968E,constructive algorithms 
1968D,brute force
1968D,dfs and similar
1968D,games
1968D,graphs
1968D,greedy
1968D,math 
1968C,constructive algorithms
1968C,number theory 
1968B,greedy
1968B,two pointers 
1968A,brute force
1968A,math
1968A,number theory 
1967F,brute force
1967F,data structures
1967F,implementation 
1.97E+05,combinatorics
1.97E+05,dp
1.97E+05,math 
1.97E+04,combinatorics
1.97E+04,dp
1.97E+04,fft
1.97E+04,math 
1967D,binary search
1967D,dfs and similar
1967D,graphs
1967D,implementation
1967D,shortest paths
1967D,two pointers 
1967C,bitmasks
1967C,brute force
1967C,combinatorics
1967C,data structures
1967C,dp
1967C,math
1967C,trees 
1967B2,brute force
1967B2,math
1967B2,number theory 
1967B1,brute force
1967B1,math
1967B1,number theory 
1967A,binary search
1967A,greedy
1967A,implementation
1967A,math
1967A,sortings 
1966B,constructive algorithms
1966B,implementation 
1966A,constructive algorithms
1966A,games
1966A,greedy 
1965F,data structures
1965F,flows 
1965E,constructive algorithms
1965E,games 
1965D,constructive algorithms 
1965C,constructive algorithms
1965C,greedy
1965C,strings 
1965B,bitmasks
1965B,constructive algorithms
1965B,greedy
1965B,number theory 
1965A,games
1965A,greedy
1965A,math
1965A,sortings 
1958J,*special problem 
1958I,*special problem
1958I,graphs
1958I,meet-in-the-middle 
1958H,*special problem
1958H,dp 
1958G,*special problem 
1958F,*special problem
1958F,combinatorics 
1958E,*special problem
1958E,constructive algorithms 
1958D,*special problem 
1958C,*special problem 
1958B,*special problem
1958B,math 
1958A,*special problem
1958A,dp 
1957F2,binary search
1957F2,data structures
1957F2,dfs and similar
1957F2,hashing
1957F2,probabilities
1957F2,trees 
1957F1,binary search
1957F1,data structures
1957F1,divide and conquer
1957F1,hashing
1957F1,probabilities
1957F1,trees 
1957E,brute force
1957E,combinatorics
1957E,dp
